2024-09-12 16:08:31.129 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : Starting Application using Java 17.0.9 with PID 15996 (E:\Projects\spring-boot-practice\spring-boot-logging\target\classes started by Huany in E:\Projects\spring-boot-practice)
2024-09-12 16:08:31.133 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-12 16:08:31.166 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-12 16:08:31.166 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-12 16:08:31.854 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-12 16:08:31.857 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : Loaded Apache Tomcat Native library [2.0.6] using APR version [1.7.4].
2024-09-12 16:08:31.875 INFO  [restartedMain] org.apache.catalina.core.AprLifecycleListener : OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2024-09-12 16:08:31.890 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-12 16:08:31.890 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-12 16:08:31.930 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-12 16:08:31.930 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 763 ms
2024-09-12 16:08:32.181 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-12 16:08:32.202 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-12 16:08:32.209 INFO  [restartedMain] top.hyzhu.springboot.logging.Application : Started Application in 1.373 seconds (process running for 1.733)
2024-09-12 16:08:44.279 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-12 16:08:44.279 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-09-12 16:08:44.280 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 1 ms
2024-09-12 16:08:44.306 INFO  [http-nio-8080-exec-1] top.hyzhu.springboot.logging.controller.LogController : This is an INFO log
2024-09-12 16:08:44.306 WARN  [http-nio-8080-exec-1] top.hyzhu.springboot.logging.controller.LogController : This is a WARN log
2024-09-12 16:08:44.306 ERROR [http-nio-8080-exec-1] top.hyzhu.springboot.logging.controller.LogController : This is an ERROR log
2024-09-12 16:08:46.581 INFO  [http-nio-8080-exec-4] top.hyzhu.springboot.logging.controller.LogController : This is an INFO log
2024-09-12 16:08:46.581 WARN  [http-nio-8080-exec-4] top.hyzhu.springboot.logging.controller.LogController : This is a WARN log
2024-09-12 16:08:46.581 ERROR [http-nio-8080-exec-4] top.hyzhu.springboot.logging.controller.LogController : This is an ERROR log
